antecedents,consequents,antecedent support,support,confidence,lift
PAPEL TOALHA KITCHEN JUMB FD C360FL,OLEO GIRASSOL SALADA PET 900ML,0.1059133764404147,0.0037748798901853123,0.03564120054570259,1.8390593750357591
MM LAVA ROUPAS 5LTS ULTIMATE CLEAN,REQUEIJAO TRADIC CATUPIRY 500G,0.07739406856193332,0.003756818263916483,0.0485414235705951,1.1569283071070031
REQUEIJAO TRADIC CATUPIRY 500G,MM LAVA ROUPAS 5LTS ULTIMATE CLEAN,0.041957157822490335,0.003756818263916483,0.08953938872148084,1.1569283071070031
AZEITE EV ITALIANO ORGANICO 1L MM,PAPEL TOALHA KITCHEN JUMB FD C360FL,0.02151139688617563,0.003756818263916483,0.1746431570109152,1.6489244595952135
PAPEL TOALHA KITCHEN JUMB FD C360FL,AZEITE EV ITALIANO ORGANICO 1L MM,0.1059133764404147,0.003756818263916483,0.03547066848567531,1.6489244595952135
LIMPOL LIQ 6X500ML DETERG LIQ COCO,PH PERSONAL VIP FD 40 ROLOSX30M,0.024202579200231188,0.003756818263916483,0.15522388059701495,2.3455582350257447
PH PERSONAL VIP FD 40 ROLOSX30M,LIMPOL LIQ 6X500ML DETERG LIQ COCO,0.06617779864899036,0.003756818263916483,0.056768558951965066,2.3455582350257447
DESENGORDURANTE 1.1LT MEMBERS MARK,PAPEL TOALHA KITCHEN JUMB FD C360FL,0.0187118448145071,0.0037387566376476536,0.1998069498069498,1.8865128893266683
PAPEL TOALHA KITCHEN JUMB FD C360FL,DESENGORDURANTE 1.1LT MEMBERS MARK,0.1059133764404147,0.0037387566376476536,0.03530013642564802,1.886512889326668
PH NEVE FT 20M L32P28UN,COMFORT PRO AMACIANTE DILUIDO 5LT,0.06969981577141206,0.0037206950113788245,0.05338170510494947,2.312622445102216
COMFORT PRO AMACIANTE DILUIDO 5LT,PH NEVE FT 20M L32P28UN,0.023082758371563775,0.0037206950113788245,0.16118935837245696,2.312622445102216
BISNAGUINHAS 300G PANCO,PAPEL TOALHA KITCHEN JUMB FD C360FL,0.027688473070115235,0.0037206950113788245,0.13437703848662752,1.2687447327507877
PAPEL TOALHA KITCHEN JUMB FD C360FL,BISNAGUINHAS 300G PANCO,0.1059133764404147,0.0037206950113788245,0.03512960436562074,1.2687447327507877
MANTEIGA COM SAL MEMBERS MARK 500G,FILE PEITO FRANGO SADIA 1KG ZIP IQF,0.04370913557056677,0.0037206950113788245,0.08512396694214877,1.9331310720750652
FILE PEITO FRANGO SADIA 1KG ZIP IQF,MANTEIGA COM SAL MEMBERS MARK 500G,0.0440342448434057,0.0037206950113788245,0.0844954881050041,1.933131072075065
REQUEIJ CREMOSO 500G MEMBERS MARK,FILE PEITO FRANGO SADIA 1KG ZIP IQF,0.05790557381786656,0.0037026333851099954,0.06394260761072988,1.452110915904705
FILE PEITO FRANGO SADIA 1KG ZIP IQF,REQUEIJ CREMOSO 500G MEMBERS MARK,0.0440342448434057,0.0037026333851099954,0.08408531583264972,1.452110915904705
